ID;Street 1;Street 2;Address;NW;NE;SW;SE;Lat ;Long;UTM_X;UTM_Y;School;geopoint
1.0;W 1st Ave;Cypress St;W 1st Ave & Cypress St, Vancouver, BC, Canada;S;;;;49.270698;-123.147867;489243.0;5457559.0;;49.270698,-123.147867
8.0;E 1st Ave;Thornton St;E 1st Ave & Thornton St, Vancouver, BC, Canada;S;S;S;S;49.267621;-123.094972;493090.0;5457210.0;;49.267621,-123.094972
11.0;E 1st Ave;Lakewood Dr;E 1st Ave & Lakewood Dr, Vancouver, BC, Canada;S;;;;49.269545;-123.06187;495499.0;5457422.0;;49.269545,-123.06187
18.0;W 2nd Ave;Crowe St;W 2nd Ave & Crowe St, Vancouver, BC, Canada;S;;;;49.268244;-123.111504;491888.0;5457281.0;;49.268244,-123.111504
19.0;W 2nd Ave;Ontario St;W 2nd Ave & Ontario St, Vancouver, BC, Canada;;;S;S;49.269193;-123.104642;492387.0;5457386.0;;49.269193,-123.104642
27.0;E 2nd Ave;Lillooet St;E 2nd Ave & Lillooet St, Vancouver, BC, Canada;S;;;;49.268476;-123.038973;497164.0;5457302.0;;49.268476,-123.038973
30.0;E 3rd Ave;Commercial Dr;E 3rd Ave & Commercial Dr, Vancouver, BC, Canada;S;;S;;49.267798;-123.069642;494933.0;5457228.0;;49.267798,-123.069642
33.0;W 4th Ave;Sasamat St;W 4th Ave & Sasamat St, Vancouver, BC, Canada;S;;D;;49.269021;-123.208901;484802.0;5457383.0;;49.269021,-123.208901
35.0;W 4th Ave;W 2nd Ave;W 4th Ave & W 2nd Ave, Vancouver, BC, Canada;;S;;S;49.267566;-123.112724;491798.0;5457206.0;;49.267566,-123.112724
38.0;E 4th Ave;Commercial Dr;E 4th Ave & Commercial Dr, Vancouver, BC, Canada;;;;S;49.266884;-123.069682;494930.0;5457127.0;;49.266884,-123.069682
39.0;E 4th Ave;Kamloops St;E 4th Ave & Kamloops St, Vancouver, BC, Canada;S;;;;49.266677;-123.054697;496020.0;5457103.0;;49.266677,-123.054697
40.0;W 5th Ave;Balsam St;W 5th Ave & Balsam St, Vancouver, BC, Canada;;;;S;49.267377;-123.159948;488363.0;5457191.0;;49.267377,-123.159948
47.0;W 6th Ave;Balsam St;W 6th Ave & Balsam St, Vancouver, BC, Canada;S;;;;49.266548;-123.159962;488362.0;5457099.0;;49.266548,-123.159962
52.0;W 6th Ave;Pine St;W 6th Ave & Pine St, Vancouver, BC, Canada;S;;S;;49.266263;-123.143289;489575.0;5457065.0;;49.266263,-123.143289
53.0;W 6th Ave;Alberta St;W 6th Ave & Alberta St, Vancouver, BC, Canada;;;D;;49.265712;-123.110854;491935.0;5457000.0;;49.265712,-123.110854
56.0;E 6th Ave;Fraser St;E 6th Ave & Fraser St, Vancouver, BC, Canada;;S;;D;49.265259;-123.089066;493520.0;5456947.0;;49.265259,-123.089066
63.0;W 7th Ave;Willow St;W 7th Ave & Willow St, Vancouver, BC, Canada;S;S;S;S;49.265112;-123.121765;491141.0;5456934.0;;49.265112,-123.121765
64.0;W 7th Ave;Laurel St;W 7th Ave & Laurel St, Vancouver, BC, Canada;;S;D;D;49.26513;-123.124075;490973.0;5456937.0;;49.26513,-123.124075
65.0;W 7th Ave;Oak St;W 7th Ave & Oak St, Vancouver, BC, Canada;D;D;D;D;49.26518;-123.126526;490794.0;5456942.0;;49.26518,-123.126526
67.0;W 7th Ave;Alder St;W 7th Ave & Alder St, Vancouver, BC, Canada;D;D;D;D;49.265217;-123.131296;490447.0;5456947.0;;49.265217,-123.131296
73.0;E 7th Ave;Prince Albert St;E 7th Ave & Prince Albert St, Vancouver, BC, Canada;;;D;D;49.264324;-123.087143;493659.0;5456843.0;;49.264324,-123.087143
78.0;W 8th Ave;Arbutus St;W 8th Ave & Arbutus St, Vancouver, BC, Canada;S;S;;;49.264753;-123.152897;488876.0;5456899.0;St Augustine;49.264753,-123.152897
80.0;W 8th Ave;Discovery St;W 8th Ave & Discovery St, Vancouver, BC, Canada;S;;D;D;49.265485;-123.202989;485231.0;5456988.0;;49.265485,-123.202989
94.0;E 8th Ave;Carolina St;E 8th Ave & Carolina St, Vancouver, BC, Canada;S;S;S;S;49.263455;-123.091032;493376.0;5456747.0;;49.263455,-123.091032
100.0;E 8th Ave;Commercial Dr;E 8th Ave & Commercial Dr, Vancouver, BC, Canada;;;S;;49.263021;-123.069747;494925.0;5456697.0;;49.263021,-123.069747
101.0;E 8th Ave;N Grandview Hwy;E 8th Ave & N Grandview Hwy, Vancouver, BC, Canada;;;D;;49.262278;-123.054996;495998.0;5456614.0;;49.262278,-123.054996
102.0;E 8th Ave;Kamloops St;E 8th Ave & Kamloops St, Vancouver, BC, Canada;S;;S;;49.262942;-123.0547;496020.0;5456687.0;;49.262942,-123.0547
106.0;W 10th Ave;Sasamat St;W 10th Ave & Sasamat St, Vancouver, BC, Canada;D;;S;S;49.263829;-123.209126;484784.0;5456806.0;;49.263829,-123.209126
107.0;W 10th Ave;Tolmie St;W 10th Ave & Tolmie St, Vancouver, BC, Canada;;S;;S;49.263877;-123.212174;484563.0;5456812.0;;49.263877,-123.212174
113.0;W 10th Ave;Blenheim St;W 10th Ave & Blenheim St, Vancouver, BC, Canada;;S;;;49.263355;-123.177882;487057.0;5456747.0;;49.263355,-123.177882
114.0;W 10th Ave;Balaclava St;W 10th Ave & Balaclava St, Vancouver, BC, Canada;;D;S;S;49.263297;-123.174008;487339.0;5456740.0;;49.263297,-123.174008
116.0;W 10th Ave;Granville St;W 10th Ave & Granville St, Vancouver, BC, Canada;;S;;;49.262632;-123.138599;489915.0;5456661.0;;49.262632,-123.138599
117.0;W 10th Ave;Birch St;W 10th Ave & Birch St, Vancouver, BC, Canada;;;;S;49.262564;-123.133736;490269.0;5456653.0;;49.262564,-123.133736
118.0;W 10th Ave;Yukon St;W 10th Ave & Yukon St, Vancouver, BC, Canada;;;S;D;49.262223;-123.112962;491781.0;5456612.0;;49.262223,-123.112962
119.0;W 10th Ave;Alberta St;W 10th Ave & Alberta St, Vancouver, BC, Canada;;;S;;49.262194;-123.110974;491925.0;5456609.0;;49.262194,-123.110974
122.0;E 10th Ave;Victoria Dr;E 10th Ave & Victoria Dr, Vancouver, BC, Canada;;;S;D;49.261341;-123.065914;495204.0;5456510.0;;49.261341,-123.065914
123.0;E 10th Ave;Lakewood Dr;E 10th Ave & Lakewood Dr, Vancouver, BC, Canada;D;D;S;D;49.26133;-123.062061;495484.0;5456509.0;;49.26133,-123.062061
124.0;W 11th Ave;Vine St;W 11th Ave & Vine St, Vancouver, BC, Canada;;S;;S;49.262029;-123.157738;488523.0;5456596.0;;49.262029,-123.157738
129.0;W 11th Ave;Yukon St;W 11th Ave & Yukon St, Vancouver, BC, Canada;;D;;S;49.261298;-123.112987;491779.0;5456509.0;;49.261298,-123.112987
133.0;E 11th Ave;Commercial Dr;E 11th Ave & Commercial Dr, Vancouver, BC, Canada;S;S;S;S;49.260468;-123.069795;494921.0;5456413.0;;49.260468,-123.069795
135.0;W 12th Ave;Trafalgar St;W 12th Ave & Trafalgar St, Vancouver, BC, Canada;D;;D;D;49.261198;-123.164766;488011.0;5456505.0;Kitsilano;49.261198,-123.164766
140.0;E 12th Ave;Sophia St;E 12th Ave & Sophia St, Vancouver, BC, Canada;;;S;S;49.260134;-123.098309;492846.0;5456378.0;;49.260134,-123.098309
141.0;E 12th Ave;N Grandview Hwy;E 12th Ave & N Grandview Hwy, Vancouver, BC, Canada;;S;;S;49.259462;-123.059031;495704.0;5456301.0;;49.259462,-123.059031
142.0;E 12th Ave;Kaslo St;E 12th Ave & Kaslo St, Vancouver, BC, Canada;;S;S;;49.259059;-123.047037;496577.0;5456255.0;;49.259059,-123.047037
144.0;W 13th Ave;Discovery St;W 13th Ave & Discovery St, Vancouver, BC, Canada;S;;;;49.26103;-123.203136;485219.0;5456493.0;;49.26103,-123.203136
147.0;E 13th Ave;Prince Edward St;E 13th Ave & Prince Edward St, Vancouver, BC, Canada;D;;S;;49.259239;-123.096303;492992.0;5456279.0;;49.259239,-123.096303
152.0;W 14th Ave;Yukon St;W 14th Ave & Yukon St, Vancouver, BC, Canada;S;;S;;49.258701;-123.113067;491772.0;5456221.0;;49.258701,-123.113067
153.0;W 14th Ave;Manitoba St;W 14th Ave & Manitoba St, Vancouver, BC, Canada;S;;S;;49.2585;-123.107012;492213.0;5456198.0;;49.2585,-123.107012
156.0;E 14th Ave;Prince Albert;E 14th Ave & Prince Albert, Vancouver, BC, Canada;;;;S;49.257957;-123.087248;493651.0;5456135.0;;49.257957,-123.087248
158.0;E 14th Ave;Commercial Dr;E 14th Ave & Commercial Dr, Vancouver, BC, Canada;D;D;D;D;49.25776;-123.069836;494918.0;5456112.0;Stratford Hall;49.25776,-123.069836
160.0;W 15th Ave;Cypress St;W 15th Ave & Cypress St, Vancouver, BC, Canada;;;;S;49.258179;-123.14833;489206.0;5456167.0;;49.258179,-123.14833
163.0;W 15th Ave;Yukon St;W 15th Ave & Yukon St, Vancouver, BC, Canada;D;;;S;49.25779;-123.113098;491770.0;5456119.0;;49.25779,-123.113098
165.0;E 15th Ave;Prince Edward St;E 15th Ave & Prince Edward St, Vancouver, BC, Canada;;;D;D;49.257487;-123.096457;492981.0;5456084.0;;49.257487,-123.096457
167.0;E 15th Ave;Dumfries St;E 15th Ave & Dumfries St, Vancouver, BC, Canada;S;S;S;;49.25649;-123.072799;494702.0;5455971.0;;49.25649,-123.072799
170.0;E 15th Ave;Rupert St;E 15th Ave & Rupert St, Vancouver, BC, Canada;S;S;;;49.256414;-123.033886;497534.0;5455961.0;;49.256414,-123.033886
