ID,Variable,Gender,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
3,    0 to 4 years,Total,455,"2,080",675,"1,240","1,320","1,510","2,515",430,"1,300","1,720",905,"1,565",490,"2,065","1,175",270,360,360,"1,695","1,175",965,420,"24,615","116,270"
4,    5 to 9 years,Total,685,"1,105","1,225",760,"1,025","1,560","2,390",600,"1,400","1,405",855,910,480,"2,115","1,160",405,365,365,"1,780","1,210",560,670,"22,905","122,730"
5,    10 to 14 years,Total,880,810,"1,650",580,865,"1,525","2,160",845,"1,485","1,195",885,605,590,"2,130","1,080",500,375,340,"1,985","1,410",415,810,"23,010","123,110"
7,    15 to 19 years,Total,"1,230","1,180","1,800",655,830,"1,780","2,630","1,050","1,760","1,420","1,400",630,835,"2,815","1,065",575,380,370,"2,570","1,895",610,915,"28,265","142,285"
8,    20 to 24 years,Total,"1,165","4,050","1,740","1,865","1,525","2,360","3,470","1,150","1,995","3,250","2,060","1,710","1,040","4,340","1,335",635,475,575,"2,975","2,220","3,100","1,215","44,150","167,270"
9,    25 to 29 years,Total,805,"8,810","1,110","4,025","3,450","2,755","4,325",905,"1,755","5,300","2,185","4,895",995,"4,820","1,955",545,705,885,"2,900","2,295","7,375",780,"63,475","179,940"
10,    30 to 34 years,Total,570,"9,750",695,"4,395","3,720","2,515","4,205",560,"1,800","5,080","1,815","5,705",735,"3,985","2,010",445,670,960,"2,450","1,985","7,140",610,"61,715","182,625"
11,    35 to 39 years,Total,560,"6,620",765,"3,175","2,835","2,265","3,805",545,"1,810","3,640","1,535","3,935",645,"3,490","1,745",380,635,960,"2,535","1,795","4,750",575,"48,915","167,950"
12,    40 to 44 years,Total,965,"4,755","1,325","2,450","2,425","2,300","3,700",770,"2,040","2,990","1,535","2,870",685,"3,350","1,680",385,530,830,"2,540","1,805","3,280",755,"43,890","168,375"
13,    45 to 49 years,Total,"1,350","4,610","2,025","2,340","2,220","2,615","3,640","1,245","2,165","3,205","1,980","2,165",920,"3,570","1,710",685,620,985,"2,660","2,080","3,145","1,055","46,890","184,285"
14,    50 to 54 years,Total,"1,310","4,160","1,895","2,110","2,025","2,800","3,570","1,245","2,395","2,895","2,135","2,025","1,010","4,115","1,700",665,530,"1,080","2,610","2,450","3,230","1,030","46,845","191,375"
15,    55 to 59 years,Total,920,"3,970","1,460","2,145","1,885","2,490","3,190","1,045","2,290","2,620","1,830","1,740",825,"3,685","1,425",570,460,"1,150","2,320","2,375","2,945",865,"42,100","177,095"
16,    60 to 64 years,Total,935,"3,365","1,400","1,980","1,615","2,055","2,840",885,"1,975","2,405","1,570","1,380",855,"3,145","1,240",565,425,945,"1,925","2,205","2,680",860,"37,150","152,810"
18,    65 to 69 years,Total,915,"2,640","1,290","2,005","1,330","1,775","2,190",850,"1,745","2,300","1,340","1,195",855,"2,545","1,115",555,375,830,"1,735","1,885","2,485",900,"32,760","131,035"
19,    70 to 74 years,Total,635,"1,710",865,"1,345",750,"1,065","1,385",675,"1,045","1,475",815,610,540,"1,570",610,370,255,485,"1,195","1,110","1,815",605,"20,835","89,675"
20,    75 to 79 years,Total,590,"1,095",655,930,520,"1,125","1,280",495,890,855,620,415,500,"1,495",565,275,210,495,"1,010","1,120","1,155",415,"16,630","66,505"
21,    80 to 84 years,Total,525,700,415,690,425,"1,085","1,035",360,710,575,440,290,440,"1,215",485,240,235,445,865,935,750,275,"13,115","48,825"
23,      85 to 89 years,Total,430,390,265,525,290,655,640,195,475,435,330,180,310,700,305,185,170,310,480,670,490,195,"8,615","31,475"
24,      90 to 94 years,Total,270,170,115,270,100,265,260,100,195,210,170,95,220,300,135,130,145,140,200,340,240,80,"4,140","14,870"
25,      95 to 99 years,Total,90,45,45,105,25,60,65,20,80,65,55,25,45,70,40,60,40,60,50,95,55,25,"1,215","4,190"
26,      100 years and over,Total,20,10,10,25,5,10,15, -   ,10,15,10,5,5,15,10,10,10,10,10,25,10,5,255,740
29,      0 to 4 years,Male,230,"1,085",350,640,680,795,"1,330",245,685,885,495,820,250,"1,075",625,145,185,185,885,600,480,245,"12,875","60,050"
30,      5 to 9 years,Male,345,575,645,405,530,780,"1,240",285,745,725,485,445,250,"1,080",585,195,195,175,915,640,280,335,"11,805","63,390"
31,      10 to 14 years,Male,475,425,840,280,470,785,"1,100",440,765,595,475,320,315,"1,110",565,250,200,170,"1,075",760,215,400,"11,965","63,340"
33,      15 to 19 years,Male,650,605,930,300,435,890,"1,340",535,900,680,705,320,415,"1,455",545,290,195,195,"1,295",955,285,465,"14,305","73,180"
